PostcodeArea,Region
AB,Scotland
AL,East
B,West Midlands
BA,South West 
BB,North West 
BD,Yorkshire and the Humber
BH,South West 
BL,North West 
BN,South East 
BR,London
BS,South West 
BT,Northern Ireland
CA,North West 
CB,East
CF,Wales
CH,North West 
CM,East
CO,East
CR,London
CT,South East 
CV,West Midlands
CW,North West 
DA,South East 
DD,Scotland
DE,East Midlands
DG,Scotland
DH,North East 
DL,North East 
DN,Yorkshire and the Humber
DT,South West 
DY,West Midlands
E,London
EC,London
EH,Scotland
EN,London
EX,South West 
FK,Scotland
FY,North West 
G,Scotland
GL,South West 
GU,South East 
GY,Channel Islands
HA,London
HD,Yorkshire and the Humber
HG,Yorkshire and the Humber
HP,South East 
HR,West Midlands
HS,Scotland
HU,Yorkshire and the Humber
HX,Yorkshire and the Humber
IG,London
IP,East
IV,Scotland
JE,Channel Islands
KA,Scotland
KT,South East 
KW,Scotland
KY,Scotland
L,North West 
LA,North West 
LD,Wales
LE,East Midlands
LL,Wales
LN,East Midlands
LS,Yorkshire and the Humber
LU,East 
M,North West 
ME,South East 
MK,South East 
ML,Scotland
N,London
NE,North East 
NG,East Midlands
NN,East Midlands
NP,Wales
NR,East
NW,London
OL,North West 
OX,South East 
PA,Scotland
PE,East
PH,Scotland
PL,South West 
PO,South East 
PR,North West 
RG,South East 
RH,South East 
RM,London
S,Yorkshire and the Humber
SA,Wales
SE,London
SG,East
SK,North West 
SL,South East 
SM,London
SN,South West 
SO,South East 
SP,South West 
SR,North East 
SS,East
ST,West Midlands
SW,London
SY,West Midlands
TA,South West 
TD,Scotland
TF,West Midlands
TN,South East 
TQ,South West 
TR,South West 
TS,North East 
TW,London
UB,London
W,London
WA,North West 
WC,London
WD,East
WF,Yorkshire and the Humber
WN,North West 
WR,West Midlands
WS,West Midlands
WV,West Midlands
YO,Yorkshire and the Humber
ZE,Scotland
